,Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
24,,2020-01-03,,,,,Hair Services,22.25,GDP,22.25,GDP,,,,,,,
25,,2020-01-03,,,,,Hair Services,25.09,GDP,25.09,GDP,,,,,,,
26,,2020-01-03,,,,,Hair Services,10.18,GDP,10.18,GDP,,,,,,,
27,,2020-01-03,,,,,Store,18.84,GDP,18.84,GDP,,,,,,,
28,,2020-01-03,,,,,Hair Services,14.11,GDP,14.11,GDP,,,,,,,
29,,2020-01-03,,,,,Hair Services,22.92,GDP,22.92,GDP,,,,,,,
30,,2020-01-03,,,,,Inventory,-225.28,GDP,-225.28,GDP,,,,,,,
31,,2020-01-03,,,,,Hair Services,14.3,GDP,14.3,GDP,,,,,,,
32,,2020-01-03,,,,,Tips,20.67,GDP,20.67,GDP,,,,,,,
33,,2020-01-03,,,,,Tips,18.5,GDP,18.5,GDP,,,,,,,
34,,2020-01-03,,,,,Hair Services,25.22,GDP,25.22,GDP,,,,,,,
35,,2020-01-03,,,,,Store,17.34,GDP,17.34,GDP,,,,,,,
36,,2020-01-04,,,,,Hair Services,16.65,GDP,16.65,GDP,,,,,,,
37,,2020-01-04,,,,,Hair Services,14.18,GDP,14.18,GDP,,,,,,,
38,,2020-01-04,,,,,Hair Services,14.74,GDP,14.74,GDP,,,,,,,
39,,2020-01-04,,,,,Hair Services,18.27,GDP,18.27,GDP,,,,,,,
40,,2020-01-04,,,,,Hair Services,10.59,GDP,10.59,GDP,,,,,,,
41,,2020-01-04,,,,,Hair Services,18.49,GDP,18.49,GDP,,,,,,,
42,,2020-01-04,,,,,Hair Services,16.58,GDP,16.58,GDP,,,,,,,
43,,2020-01-04,,,,,Store,18.0,GDP,18.0,GDP,,,,,,,
44,,2020-01-04,,,,,Hair Services,18.77,GDP,18.77,GDP,,,,,,,
45,,2020-01-04,,,,,Marketing,-229.13,GDP,-229.13,GDP,,,,,,,
46,,2020-01-04,,,,,Hair Services,13.4,GDP,13.4,GDP,,,,,,,
47,,2020-01-04,,,,,Hair Services,16.68,GDP,16.68,GDP,,,,,,,
48,,2020-01-05,,,,,Tips,19.05,GDP,19.05,GDP,,,,,,,
49,,2020-01-05,,,,,Hair Services,10.48,GDP,10.48,GDP,,,,,,,
50,,2020-01-05,,,,,Hair Services,16.3,GDP,16.3,GDP,,,,,,,
51,,2020-01-05,,,,,Hair Services,15.16,GDP,15.16,GDP,,,,,,,
52,,2020-01-05,,,,,Hair Services,11.89,GDP,11.89,GDP,,,,,,,
53,,2020-01-05,,,,,Hair Services,24.84,GDP,24.84,GDP,,,,,,,
54,,2020-01-05,,,,,Hair Services,9.73,GDP,9.73,GDP,,,,,,,
55,,2020-01-05,,,,,Store,13.02,GDP,13.02,GDP,,,,,,,
56,,2020-01-05,,,,,Tips,10.8,GDP,10.8,GDP,,,,,,,
57,,2020-01-05,,,,,Store,14.91,GDP,14.91,GDP,,,,,,,
58,,2020-01-05,,,,,Hair Services,19.71,GDP,19.71,GDP,,,,,,,
59,,2020-01-05,,,,,Hair Services,17.9,GDP,17.9,GDP,,,,,,,
60,,2020-01-05,,,,,Rent and Utilities,-212.25,GDP,-212.25,GDP,,,,,,,
61,,2020-01-05,,,,,Hair Services,26.43,GDP,26.43,GDP,,,,,,,
62,,2020-01-05,,,,,Hair Services,21.08,GDP,21.08,GDP,,,,,,,
63,,2020-01-05,,,,,Store,11.42,GDP,11.42,GDP,,,,,,,
64,,2020-01-05,,,,,Hair Services,15.42,GDP,15.42,GDP,,,,,,,
65,,2020-01-05,,,,,Hair Services,14.34,GDP,14.34,GDP,,,,,,,
66,,2020-01-05,,,,,Store,17.45,GDP,17.45,GDP,,,,,,,
67,,2020-01-06,,,,,Hair Services,15.94,GDP,15.94,GDP,,,,,,,
68,,2020-01-06,,,,,Hair Services,25.77,GDP,25.77,GDP,,,,,,,
69,,2020-01-06,,,,,Hair Services,14.77,GDP,14.77,GDP,,,,,,,
70,,2020-01-06,,,,,Hair Services,17.78,GDP,17.78,GDP,,,,,,,
71,,2020-01-06,,,,,Hair Services,19.81,GDP,19.81,GDP,,,,,,,
72,,2020-01-06,,,,,Hair Services,15.6,GDP,15.6,GDP,,,,,,,
73,,2020-01-06,,,,,Hair Services,23.66,GDP,23.66,GDP,,,,,,,
74,,2020-01-06,,,,,Hair Services,20.58,GDP,20.58,GDP,,,,,,,
75,,2020-01-06,,,,,Rent and Utilities,-187.47,GDP,-187.47,GDP,,,,,,,
76,,2020-01-06,,,,,Hair Services,24.73,GDP,24.73,GDP,,,,,,,
77,,2020-01-06,,,,,Tips,15.4,GDP,15.4,GDP,,,,,,,
78,,2020-01-06,,,,,Hair Services,13.99,GDP,13.99,GDP,,,,,,,
79,,2020-01-06,,,,,Hair Services,26.16,GDP,26.16,GDP,,,,,,,
80,,2020-01-06,,,,,Hair Services,22.82,GDP,22.82,GDP,,,,,,,
81,,2020-01-06,,,,,Store,24.84,GDP,24.84,GDP,,,,,,,
82,,2020-01-06,,,,,Hair Services,10.36,GDP,10.36,GDP,,,,,,,
83,,2020-01-06,,,,,Hair Services,20.78,GDP,20.78,GDP,,,,,,,
84,,2020-01-07,,,,,Hair Services,22.7,GDP,22.7,GDP,,,,,,,
85,,2020-01-07,,,,,Hair Services,20.57,GDP,20.57,GDP,,,,,,,
86,,2020-01-07,,,,,Hair Services,25.45,GDP,25.45,GDP,,,,,,,
87,,2020-01-07,,,,,Hair Services,23.53,GDP,23.53,GDP,,,,,,,
88,,2020-01-07,,,,,Store,12.88,GDP,12.88,GDP,,,,,,,
89,,2020-01-07,,,,,Hair Services,25.68,GDP,25.68,GDP,,,,,,,
90,,2020-01-07,,,,,Marketing,-188.12,GDP,-188.12,GDP,,,,,,,
91,,2020-01-07,,,,,Hair Services,12.71,GDP,12.71,GDP,,,,,,,
92,,2020-01-07,,,,,Hair Services,23.66,GDP,23.66,GDP,,,,,,,
93,,2020-01-07,,,,,Tips,14.3,GDP,14.3,GDP,,,,,,,
94,,2020-01-07,,,,,Hair Services,23.07,GDP,23.07,GDP,,,,,,,
95,,2020-01-07,,,,,Hair Services,24.59,GDP,24.59,GDP,,,,,,,
96,,2020-01-07,,,,,Hair Services,11.21,GDP,11.21,GDP,,,,,,,
97,,2020-01-07,,,,,Hair Services,11.08,GDP,11.08,GDP,,,,,,,
98,,2020-01-07,,,,,Hair Services,12.28,GDP,12.28,GDP,,,,,,,
99,,2020-01-07,,,,,Store,14.51,GDP,14.51,GDP,,,,,,,
100,,2020-01-07,,,,,Hair Services,25.67,GDP,25.67,GDP,,,,,,,
101,,2020-01-07,,,,,Tips,12.13,GDP,12.13,GDP,,,,,,,
102,,2020-01-08,,,,,Hair Services,15.43,GDP,15.43,GDP,,,,,,,
103,,2020-01-08,,,,,Hair Services,18.7,GDP,18.7,GDP,,,,,,,
104,,2020-01-08,,,,,Hair Services,23.49,GDP,23.49,GDP,,,,,,,
105,,2020-01-08,,,,,Labor & Benefits Cost,-185.17,GDP,-185.17,GDP,,,,,,,
106,,2020-01-08,,,,,Hair Services,24.8,GDP,24.8,GDP,,,,,,,
107,,2020-01-08,,,,,Hair Services,17.27,GDP,17.27,GDP,,,,,,,
108,,2020-01-08,,,,,Hair Services,24.76,GDP,24.76,GDP,,,,,,,
109,,2020-01-08,,,,,Tips,14.89,GDP,14.89,GDP,,,,,,,
110,,2020-01-08,,,,,Store,17.86,GDP,17.86,GDP,,,,,,,
111,,2020-01-08,,,,,Hair Services,13.48,GDP,13.48,GDP,,,,,,,
112,,2020-01-08,,,,,Store,24.87,GDP,24.87,GDP,,,,,,,
113,,2020-01-08,,,,,Hair Services,20.24,GDP,20.24,GDP,,,,,,,
114,,2020-01-09,,,,,Hair Services,26.01,GDP,26.01,GDP,,,,,,,
115,,2020-01-09,,,,,Hair Services,16.21,GDP,16.21,GDP,,,,,,,
116,,2020-01-09,,,,,Hair Services,23.61,GDP,23.61,GDP,,,,,,,
117,,2020-01-09,,,,,Hair Services,16.08,GDP,16.08,GDP,,,,,,,
118,,2020-01-09,,,,,Hair Services,19.81,GDP,19.81,GDP,,,,,,,
119,,2020-01-09,,,,,Hair Services,12.67,GDP,12.67,GDP,,,,,,,
120,,2020-01-09,,,,,Inventory,-195.11,GDP,-195.11,GDP,,,,,,,
121,,2020-01-09,,,,,Hair Services,19.94,GDP,19.94,GDP,,,,,,,
122,,2020-01-09,,,,,Store,12.72,GDP,12.72,GDP,,,,,,,
123,,2020-01-09,,,,,Hair Services,21.87,GDP,21.87,GDP,,,,,,,
124,,2020-01-09,,,,,Hair Services,13.68,GDP,13.68,GDP,,,,,,,
125,,2020-01-10,,,,,Hair Services,12.24,GDP,12.24,GDP,,,,,,,
126,,2020-01-10,,,,,Hair Services,25.86,GDP,25.86,GDP,,,,,,,
127,,2020-01-10,,,,,Hair Services,23.26,GDP,23.26,GDP,,,,,,,
128,,2020-01-10,,,,,Tips,16.51,GDP,16.51,GDP,,,,,,,
129,,2020-01-10,,,,,Hair Services,17.34,GDP,17.34,GDP,,,,,,,
130,,2020-01-10,,,,,Hair Services,21.0,GDP,21.0,GDP,,,,,,,
131,,2020-01-10,,,,,Hair Services,15.52,GDP,15.52,GDP,,,,,,,
132,,2020-01-10,,,,,Hair Services,22.41,GDP,22.41,GDP,,,,,,,
133,,2020-01-10,,,,,Hair Services,26.08,GDP,26.08,GDP,,,,,,,
134,,2020-01-10,,,,,Hair Services,20.95,GDP,20.95,GDP,,,,,,,
135,,2020-01-10,,,,,Inventory,-202.6,GDP,-202.6,GDP,,,,,,,
136,,2020-01-10,,,,,Hair Services,20.09,GDP,20.09,GDP,,,,,,,
137,,2020-01-10,,,,,Hair Services,17.09,GDP,17.09,GDP,,,,,,,
138,,2020-01-10,,,,,Hair Services,26.32,GDP,26.32,GDP,,,,,,,
139,,2020-01-11,,,,,Hair Services,13.18,GDP,13.18,GDP,,,,,,,
140,,2020-01-11,,,,,Hair Services,17.12,GDP,17.12,GDP,,,,,,,
141,,2020-01-11,,,,,Store,21.08,GDP,21.08,GDP,,,,,,,
142,,2020-01-11,,,,,Hair Services,25.42,GDP,25.42,GDP,,,,,,,
143,,2020-01-11,,,,,Store,14.15,GDP,14.15,GDP,,,,,,,
144,,2020-01-11,,,,,Hair Services,22.9,GDP,22.9,GDP,,,,,,,
145,,2020-01-11,,,,,Tips,9.67,GDP,9.67,GDP,,,,,,,
146,,2020-01-11,,,,,Hair Services,14.72,GDP,14.72,GDP,,,,,,,
147,,2020-01-11,,,,,Hair Services,26.66,GDP,26.66,GDP,,,,,,,
148,,2020-01-11,,,,,Tips,17.06,GDP,17.06,GDP,,,,,,,
149,,2020-01-11,,,,,Hair Services,18.29,GDP,18.29,GDP,,,,,,,
150,,2020-01-11,,,,,Labor & Benefits Cost,-180.75,GDP,-180.75,GDP,,,,,,,
151,,2020-01-11,,,,,Hair Services,23.73,GDP,23.73,GDP,,,,,,,
152,,2020-01-11,,,,,Hair Services,25.95,GDP,25.95,GDP,,,,,,,
153,,2020-01-11,,,,,Hair Services,26.18,GDP,26.18,GDP,,,,,,,
154,,2020-01-11,,,,,Hair Services,9.9,GDP,9.9,GDP,,,,,,,
155,,2020-01-11,,,,,Hair Services,14.79,GDP,14.79,GDP,,,,,,,
156,,2020-01-11,,,,,Hair Services,21.0,GDP,21.0,GDP,,,,,,,
157,,2020-01-11,,,,,Hair Services,12.97,GDP,12.97,GDP,,,,,,,
158,,2020-01-12,,,,,Hair Services,17.42,GDP,17.42,GDP,,,,,,,
159,,2020-01-12,,,,,Hair Services,12.08,GDP,12.08,GDP,,,,,,,
160,,2020-01-12,,,,,Hair Services,10.53,GDP,10.53,GDP,,,,,,,
161,,2020-01-12,,,,,Hair Services,19.73,GDP,19.73,GDP,,,,,,,
162,,2020-01-12,,,,,Store,19.56,GDP,19.56,GDP,,,,,,,
163,,2020-01-12,,,,,Store,19.28,GDP,19.28,GDP,,,,,,,
164,,2020-01-12,,,,,Hair Services,21.01,GDP,21.01,GDP,,,,,,,
165,,2020-01-12,,,,,Labor & Benefits Cost,-207.18,GDP,-207.18,GDP,,,,,,,
166,,2020-01-12,,,,,Store,19.16,GDP,19.16,GDP,,,,,,,
167,,2020-01-12,,,,,Store,23.37,GDP,23.37,GDP,,,,,,,
168,,2020-01-12,,,,,Hair Services,26.85,GDP,26.85,GDP,,,,,,,
169,,2020-01-12,,,,,Hair Services,16.68,GDP,16.68,GDP,,,,,,,
170,,2020-01-12,,,,,Hair Services,19.47,GDP,19.47,GDP,,,,,,,
171,,2020-01-12,,,,,Hair Services,24.77,GDP,24.77,GDP,,,,,,,
172,,2020-01-12,,,,,Hair Services,22.67,GDP,22.67,GDP,,,,,,,
173,,2020-01-12,,,,,Store,26.64,GDP,26.64,GDP,,,,,,,
174,,2020-01-12,,,,,Tips,14.06,GDP,14.06,GDP,,,,,,,
175,,2020-01-13,,,,,Hair Services,20.46,GDP,20.46,GDP,,,,,,,
176,,2020-01-13,,,,,Hair Services,23.43,GDP,23.43,GDP,,,,,,,
177,,2020-01-13,,,,,Hair Services,23.75,GDP,23.75,GDP,,,,,,,
178,,2020-01-13,,,,,Hair Services,12.02,GDP,12.02,GDP,,,,,,,
179,,2020-01-13,,,,,Store,17.15,GDP,17.15,GDP,,,,,,,
180,,2020-01-13,,,,,Labor & Benefits Cost,-191.14,GDP,-191.14,GDP,,,,,,,
181,,2020-01-13,,,,,Hair Services,21.45,GDP,21.45,GDP,,,,,,,
182,,2020-01-13,,,,,Hair Services,17.41,GDP,17.41,GDP,,,,,,,
183,,2020-01-13,,,,,Hair Services,13.26,GDP,13.26,GDP,,,,,,,
184,,2020-01-13,,,,,Tips,20.43,GDP,20.43,GDP,,,,,,,
185,,2020-01-13,,,,,Hair Services,21.95,GDP,21.95,GDP,,,,,,,
186,,2020-01-13,,,,,Hair Services,10.22,GDP,10.22,GDP,,,,,,,
187,,2020-01-14,,,,,Store,24.94,GDP,24.94,GDP,,,,,,,
188,,2020-01-14,,,,,Tips,24.89,GDP,24.89,GDP,,,,,,,
189,,2020-01-14,,,,,Hair Services,18.79,GDP,18.79,GDP,,,,,,,
190,,2020-01-14,,,,,Hair Services,17.81,GDP,17.81,GDP,,,,,,,
191,,2020-01-14,,,,,Hair Services,25.71,GDP,25.71,GDP,,,,,,,
192,,2020-01-14,,,,,Store,10.39,GDP,10.39,GDP,,,,,,,
193,,2020-01-14,,,,,Store,10.99,GDP,10.99,GDP,,,,,,,
194,,2020-01-14,,,,,Store,18.72,GDP,18.72,GDP,,,,,,,
195,,2020-01-14,,,,,Rent and Utilities,-219.06,GDP,-219.06,GDP,,,,,,,
196,,2020-01-14,,,,,Store,15.95,GDP,15.95,GDP,,,,,,,
197,,2020-01-14,,,,,Hair Services,14.5,GDP,14.5,GDP,,,,,,,
198,,2020-01-15,,,,,Tips,17.38,GDP,17.38,GDP,,,,,,,
199,,2020-01-15,,,,,Hair Services,23.13,GDP,23.13,GDP,,,,,,,
200,,2020-01-15,,,,,Hair Services,16.65,GDP,16.65,GDP,,,,,,,
201,,2020-01-15,,,,,Tips,25.3,GDP,25.3,GDP,,,,,,,
202,,2020-01-15,,,,,Tips,22.63,GDP,22.63,GDP,,,,,,,
203,,2020-01-15,,,,,Hair Services,22.81,GDP,22.81,GDP,,,,,,,
204,,2020-01-15,,,,,Hair Services,19.54,GDP,19.54,GDP,,,,,,,
205,,2020-01-15,,,,,Hair Services,24.61,GDP,24.61,GDP,,,,,,,
206,,2020-01-15,,,,,Hair Services,24.75,GDP,24.75,GDP,,,,,,,
207,,2020-01-15,,,,,Hair Services,26.95,GDP,26.95,GDP,,,,,,,
208,,2020-01-15,,,,,Store,26.38,GDP,26.38,GDP,,,,,,,
209,,2020-01-15,,,,,Store,23.21,GDP,23.21,GDP,,,,,,,
210,,2020-01-15,,,,,Labor & Benefits Cost,-211.71,GDP,-211.71,GDP,,,,,,,
211,,2020-01-15,,,,,Hair Services,18.37,GDP,18.37,GDP,,,,,,,
212,,2020-01-15,,,,,Hair Services,25.41,GDP,25.41,GDP,,,,,,,
213,,2020-01-15,,,,,Store,26.75,GDP,26.75,GDP,,,,,,,
214,,2020-01-15,,,,,Hair Services,17.47,GDP,17.47,GDP,,,,,,,
215,,2020-01-15,,,,,Store,22.86,GDP,22.86,GDP,,,,,,,
216,,2020-01-16,,,,,Tips,11.29,GDP,11.29,GDP,,,,,,,
217,,2020-01-16,,,,,Hair Services,20.16,GDP,20.16,GDP,,,,,,,
218,,2020-01-16,,,,,Store,20.35,GDP,20.35,GDP,,,,,,,
219,,2020-01-16,,,,,Tips,25.43,GDP,25.43,GDP,,,,,,,
220,,2020-01-16,,,,,Hair Services,17.53,GDP,17.53,GDP,,,,,,,
221,,2020-01-16,,,,,Hair Services,26.51,GDP,26.51,GDP,,,,,,,
222,,2020-01-16,,,,,Hair Services,16.5,GDP,16.5,GDP,,,,,,,
223,,2020-01-16,,,,,Hair Services,25.48,GDP,25.48,GDP,,,,,,,
224,,2020-01-16,,,,,Hair Services,24.36,GDP,24.36,GDP,,,,,,,
225,,2020-01-16,,,,,Labor & Benefits Cost,-223.34,GDP,-223.34,GDP,,,,,,,
226,,2020-01-17,,,,,Hair Services,18.78,GDP,18.78,GDP,,,,,,,
227,,2020-01-17,,,,,Hair Services,24.97,GDP,24.97,GDP,,,,,,,
228,,2020-01-17,,,,,Hair Services,17.21,GDP,17.21,GDP,,,,,,,
229,,2020-01-17,,,,,Store,11.41,GDP,11.41,GDP,,,,,,,
230,,2020-01-17,,,,,Hair Services,18.57,GDP,18.57,GDP,,,,,,,
231,,2020-01-17,,,,,Hair Services,9.94,GDP,9.94,GDP,,,,,,,
232,,2020-01-17,,,,,Hair Services,22.52,GDP,22.52,GDP,,,,,,,
233,,2020-01-17,,,,,Hair Services,22.21,GDP,22.21,GDP,,,,,,,
234,,2020-01-17,,,,,Hair Services,22.77,GDP,22.77,GDP,,,,,,,
235,,2020-01-17,,,,,Tips,22.8,GDP,22.8,GDP,,,,,,,
236,,2020-01-17,,,,,Tips,20.99,GDP,20.99,GDP,,,,,,,
237,,2020-01-17,,,,,Hair Services,19.28,GDP,19.28,GDP,,,,,,,
238,,2020-01-18,,,,,Tips,15.26,GDP,15.26,GDP,,,,,,,
239,,2020-01-18,,,,,Hair Services,15.72,GDP,15.72,GDP,,,,,,,
240,,2020-01-18,,,,,Labor & Benefits Cost,-189.72,GDP,-189.72,GDP,,,,,,,
241,,2020-01-18,,,,,Store,9.26,GDP,9.26,GDP,,,,,,,
242,,2020-01-18,,,,,Hair Services,27.07,GDP,27.07,GDP,,,,,,,
243,,2020-01-18,,,,,Hair Services,19.78,GDP,19.78,GDP,,,,,,,
244,,2020-01-18,,,,,Hair Services,13.29,GDP,13.29,GDP,,,,,,,
245,,2020-01-18,,,,,Hair Services,13.51,GDP,13.51,GDP,,,,,,,
246,,2020-01-18,,,,,Store,22.56,GDP,22.56,GDP,,,,,,,
247,,2020-01-18,,,,,Store,24.59,GDP,24.59,GDP,,,,,,,
248,,2020-01-18,,,,,Hair Services,22.16,GDP,22.16,GDP,,,,,,,
249,,2020-01-18,,,,,Hair Services,14.73,GDP,14.73,GDP,,,,,,,
250,,2020-01-18,,,,,Hair Services,15.29,GDP,15.29,GDP,,,,,,,
251,,2020-01-18,,,,,Hair Services,10.33,GDP,10.33,GDP,,,,,,,
252,,2020-01-18,,,,,Tips,16.87,GDP,16.87,GDP,,,,,,,
253,,2020-01-19,,,,,Hair Services,13.87,GDP,13.87,GDP,,,,,,,
254,,2020-01-19,,,,,Hair Services,11.1,GDP,11.1,GDP,,,,,,,
255,,2020-01-19,,,,,Rent and Utilities,-223.64,GDP,-223.64,GDP,,,,,,,
256,,2020-01-19,,,,,Hair Services,23.75,GDP,23.75,GDP,,,,,,,
257,,2020-01-19,,,,,Hair Services,18.2,GDP,18.2,GDP,,,,,,,
258,,2020-01-19,,,,,Store,16.09,GDP,16.09,GDP,,,,,,,
259,,2020-01-19,,,,,Hair Services,14.14,GDP,14.14,GDP,,,,,,,
260,,2020-01-19,,,,,Hair Services,11.43,GDP,11.43,GDP,,,,,,,
261,,2020-01-19,,,,,Hair Services,13.08,GDP,13.08,GDP,,,,,,,
262,,2020-01-19,,,,,Tips,25.35,GDP,25.35,GDP,,,,,,,
263,,2020-01-19,,,,,Hair Services,19.9,GDP,19.9,GDP,,,,,,,
264,,2020-01-20,,,,,Tips,14.91,GDP,14.91,GDP,,,,,,,
265,,2020-01-20,,,,,Hair Services,15.36,GDP,15.36,GDP,,,,,,,
266,,2020-01-20,,,,,Hair Services,10.23,GDP,10.23,GDP,,,,,,,
267,,2020-01-20,,,,,Hair Services,20.47,GDP,20.47,GDP,,,,,,,
268,,2020-01-20,,,,,Hair Services,26.33,GDP,26.33,GDP,,,,,,,
269,,2020-01-20,,,,,Hair Services,24.8,GDP,24.8,GDP,,,,,,,
270,,2020-01-20,,,,,Labor & Benefits Cost,-211.12,GDP,-211.12,GDP,,,,,,,
271,,2020-01-20,,,,,Hair Services,9.06,GDP,9.06,GDP,,,,,,,
272,,2020-01-20,,,,,Tips,20.49,GDP,20.49,GDP,,,,,,,
273,,2020-01-20,,,,,Store,24.34,GDP,24.34,GDP,,,,,,,
274,,2020-01-20,,,,,Hair Services,16.25,GDP,16.25,GDP,,,,,,,
275,,2020-01-20,,,,,Hair Services,25.86,GDP,25.86,GDP,,,,,,,
276,,2020-01-20,,,,,Hair Services,17.13,GDP,17.13,GDP,,,,,,,
277,,2020-01-20,,,,,Hair Services,13.87,GDP,13.87,GDP,,,,,,,
278,,2020-01-20,,,,,Hair Services,13.47,GDP,13.47,GDP,,,,,,,
279,,2020-01-20,,,,,Hair Services,9.3,GDP,9.3,GDP,,,,,,,
280,,2020-01-20,,,,,Hair Services,19.9,GDP,19.9,GDP,,,,,,,
281,,2020-01-20,,,,,Hair Services,18.5,GDP,18.5,GDP,,,,,,,
282,,2020-01-20,,,,,Hair Services,24.98,GDP,24.98,GDP,,,,,,,
283,,2020-01-21,,,,,Hair Services,19.51,GDP,19.51,GDP,,,,,,,
284,,2020-01-21,,,,,Hair Services,13.6,GDP,13.6,GDP,,,,,,,
285,,2020-01-21,,,,,Labor & Benefits Cost,-185.59,GDP,-185.59,GDP,,,,,,,
286,,2020-01-21,,,,,Hair Services,25.27,GDP,25.27,GDP,,,,,,,
287,,2020-01-21,,,,,Hair Services,19.96,GDP,19.96,GDP,,,,,,,
288,,2020-01-21,,,,,Store,16.92,GDP,16.92,GDP,,,,,,,
289,,2020-01-21,,,,,Hair Services,22.99,GDP,22.99,GDP,,,,,,,
290,,2020-01-21,,,,,Hair Services,20.09,GDP,20.09,GDP,,,,,,,
291,,2020-01-21,,,,,Hair Services,21.54,GDP,21.54,GDP,,,,,,,
292,,2020-01-21,,,,,Tips,19.62,GDP,19.62,GDP,,,,,,,
293,,2020-01-21,,,,,Hair Services,27.0,GDP,27.0,GDP,,,,,,,
294,,2020-01-21,,,,,Store,23.08,GDP,23.08,GDP,,,,,,,
295,,2020-01-21,,,,,Hair Services,15.81,GDP,15.81,GDP,,,,,,,
296,,2020-01-22,,,,,Hair Services,25.53,GDP,25.53,GDP,,,,,,,
297,,2020-01-22,,,,,Tips,24.1,GDP,24.1,GDP,,,,,,,
298,,2020-01-22,,,,,Hair Services,21.7,GDP,21.7,GDP,,,,,,,
299,,2020-01-22,,,,,Tips,21.54,GDP,21.54,GDP,,,,,,,
300,,2020-01-22,,,,,Rent and Utilities,-223.47,GDP,-223.47,GDP,,,,,,,
301,,2020-01-22,,,,,Hair Services,26.1,GDP,26.1,GDP,,,,,,,
302,,2020-01-22,,,,,Hair Services,11.03,GDP,11.03,GDP,,,,,,,
303,,2020-01-22,,,,,Hair Services,23.74,GDP,23.74,GDP,,,,,,,
304,,2020-01-22,,,,,Hair Services,12.59,GDP,12.59,GDP,,,,,,,
305,,2020-01-22,,,,,Hair Services,18.74,GDP,18.74,GDP,,,,,,,
306,,2020-01-22,,,,,Hair Services,24.87,GDP,24.87,GDP,,,,,,,
307,,2020-01-23,,,,,Hair Services,10.61,GDP,10.61,GDP,,,,,,,
308,,2020-01-23,,,,,Hair Services,22.9,GDP,22.9,GDP,,,,,,,
309,,2020-01-23,,,,,Hair Services,14.44,GDP,14.44,GDP,,,,,,,
310,,2020-01-23,,,,,Hair Services,10.53,GDP,10.53,GDP,,,,,,,
311,,2020-01-23,,,,,Store,24.77,GDP,24.77,GDP,,,,,,,
312,,2020-01-23,,,,,Store,11.67,GDP,11.67,GDP,,,,,,,
313,,2020-01-23,,,,,Store,9.41,GDP,9.41,GDP,,,,,,,
314,,2020-01-23,,,,,Tips,26.06,GDP,26.06,GDP,,,,,,,
315,,2020-01-23,,,,,Rent and Utilities,-198.0,GDP,-198.0,GDP,,,,,,,
316,,2020-01-23,,,,,Hair Services,20.64,GDP,20.64,GDP,,,,,,,
317,,2020-01-23,,,,,Hair Services,24.4,GDP,24.4,GDP,,,,,,,
318,,2020-01-23,,,,,Hair Services,10.64,GDP,10.64,GDP,,,,,,,
319,,2020-01-23,,,,,Tips,24.6,GDP,24.6,GDP,,,,,,,
320,,2020-01-23,,,,,Hair Services,26.09,GDP,26.09,GDP,,,,,,,
321,,2020-01-23,,,,,Hair Services,23.35,GDP,23.35,GDP,,,,,,,
322,,2020-01-23,,,,,Hair Services,16.75,GDP,16.75,GDP,,,,,,,
