,Unnamed: 0,Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
88,88,,2020-01-03,,,,,Sales,35.82,GDP,35.81760000000001,GDP,,,,,,,
89,89,,2020-01-03,,,,,Sales,17.65,GDP,17.65296,GDP,,,,,,,
90,90,,2020-01-03,,,,,Sales,36.6,GDP,36.59578,GDP,,,,,,,
91,91,,2020-01-03,,,,,Sales,12.0,GDP,12.00316,GDP,,,,,,,
92,92,,2020-01-03,,,,,Sales,6.89,GDP,6.886360000000002,GDP,,,,,,,
93,93,,2020-01-03,,,,,Sales,18.81,GDP,18.8149,GDP,,,,,,,
94,94,,2020-01-03,,,,,Sales,13.11,GDP,13.111800000000002,GDP,,,,,,,
95,95,,2020-01-03,,,,,Sales,36.34,GDP,36.33994000000001,GDP,,,,,,,
96,96,,2020-01-03,,,,,Sales,37.01,GDP,37.011520000000004,GDP,,,,,,,
97,97,,2020-01-03,,,,,Sales,31.28,GDP,31.27644,GDP,,,,,,,
98,98,,2020-01-03,,,,,Tips,19.0,GDP,18.99612,GDP,,,,,,,
99,99,,2020-01-03,,,,,Sales,15.6,GDP,15.595580000000002,GDP,,,,,,,
100,100,,2020-01-03,,,,,Rent and Utilities,-297.66,GDP,-297.6573600000001,GDP,,,,,,,
101,101,,2020-01-03,,,,,Sales,19.13,GDP,19.1347,GDP,,,,,,,
102,102,,2020-01-03,,,,,Tips,17.08,GDP,17.07732,GDP,,,,,,,
103,103,,2020-01-03,,,,,Sales,15.82,GDP,15.81944,GDP,,,,,,,
104,104,,2020-01-03,,,,,Tips,23.39,GDP,23.388040000000004,GDP,,,,,,,
105,105,,2020-01-03,,,,,Sales,22.29,GDP,22.29006,GDP,,,,,,,
106,106,,2020-01-03,,,,,Sales,19.1,GDP,19.10272,GDP,,,,,,,
107,107,,2020-01-03,,,,,Sales,29.45,GDP,29.45358,GDP,,,,,,,
108,108,,2020-01-03,,,,,Sales,34.65,GDP,34.645,GDP,,,,,,,
109,109,,2020-01-03,,,,,Sales,12.09,GDP,12.08844,GDP,,,,,,,
110,110,,2020-01-03,,,,,Sales,21.38,GDP,21.383960000000002,GDP,,,,,,,
111,111,,2020-01-03,,,,,Sales,6.58,GDP,6.5772200000000005,GDP,,,,,,,
112,112,,2020-01-03,,,,,Sales,5.84,GDP,5.841680000000001,GDP,,,,,,,
113,113,,2020-01-03,,,,,Sales,14.75,GDP,14.75344,GDP,,,,,,,
114,114,,2020-01-03,,,,,Sales,7.32,GDP,7.32342,GDP,,,,,,,
115,115,,2020-01-03,,,,,Sales,28.55,GDP,28.547480000000004,GDP,,,,,,,
116,116,,2020-01-03,,,,,Sales,13.28,GDP,13.282360000000002,GDP,,,,,,,
117,117,,2020-01-03,,,,,Sales,37.08,GDP,37.075480000000006,GDP,,,,,,,
118,118,,2020-01-03,,,,,Sales,25.26,GDP,25.2642,GDP,,,,,,,
119,119,,2020-01-04,,,,,Sales,21.7,GDP,21.70376,GDP,,,,,,,
120,120,,2020-01-04,,,,,Food and Beverage Cost,-286.49,GDP,-286.48928,GDP,,,,,,,
121,121,,2020-01-04,,,,,Tips,18.72,GDP,18.71896,GDP,,,,,,,
122,122,,2020-01-04,,,,,Sales,32.31,GDP,32.31046,GDP,,,,,,,
123,123,,2020-01-04,,,,,Sales,30.54,GDP,30.5409,GDP,,,,,,,
124,124,,2020-01-04,,,,,Tips,25.36,GDP,25.360139999999998,GDP,,,,,,,
125,125,,2020-01-04,,,,,Sales,12.72,GDP,12.71738,GDP,,,,,,,
126,126,,2020-01-04,,,,,Sales,28.2,GDP,28.1957,GDP,,,,,,,
127,127,,2020-01-04,,,,,Sales,20.58,GDP,20.58446,GDP,,,,,,,
128,128,,2020-01-04,,,,,Sales,11.78,GDP,11.7793,GDP,,,,,,,
129,129,,2020-01-04,,,,,Tips,5.72,GDP,5.724419999999999,GDP,,,,,,,
130,130,,2020-01-04,,,,,Sales,33.14,GDP,33.141940000000005,GDP,,,,,,,
131,131,,2020-01-04,,,,,Sales,16.46,GDP,16.459039999999998,GDP,,,,,,,
132,132,,2020-01-04,,,,,Sales,9.36,GDP,9.35948,GDP,,,,,,,
133,133,,2020-01-04,,,,,Tips,29.29,GDP,29.29368,GDP,,,,,,,
134,134,,2020-01-04,,,,,Sales,10.31,GDP,10.30822,GDP,,,,,,,
135,135,,2020-01-04,,,,,Sales,32.12,GDP,32.11858,GDP,,,,,,,
136,136,,2020-01-04,,,,,Sales,20.66,GDP,20.65908,GDP,,,,,,,
137,137,,2020-01-04,,,,,Sales,29.58,GDP,29.5815,GDP,,,,,,,
138,138,,2020-01-04,,,,,Sales,7.72,GDP,7.717840000000002,GDP,,,,,,,
139,139,,2020-01-04,,,,,Tips,6.39,GDP,6.38534,GDP,,,,,,,
140,140,,2020-01-04,,,,,Food and Beverage Cost,-351.01,GDP,-351.00757999999996,GDP,,,,,,,
141,141,,2020-01-04,,,,,Sales,35.83,GDP,35.82826,GDP,,,,,,,
142,142,,2020-01-04,,,,,Sales,11.02,GDP,11.02244,GDP,,,,,,,
143,143,,2020-01-04,,,,,Sales,16.41,GDP,16.405739999999998,GDP,,,,,,,
144,144,,2020-01-04,,,,,Sales,20.67,GDP,20.66974,GDP,,,,,,,
145,145,,2020-01-04,,,,,Sales,33.31,GDP,33.3125,GDP,,,,,,,
146,146,,2020-01-04,,,,,Sales,12.18,GDP,12.18438,GDP,,,,,,,
147,147,,2020-01-04,,,,,Sales,26.59,GDP,26.586040000000004,GDP,,,,,,,
148,148,,2020-01-04,,,,,Sales,8.55,GDP,8.54932,GDP,,,,,,,
149,149,,2020-01-04,,,,,Sales,14.22,GDP,14.22044,GDP,,,,,,,
150,150,,2020-01-04,,,,,Sales,8.49,GDP,8.48536,GDP,,,,,,,
151,151,,2020-01-05,,,,,Sales,15.64,GDP,15.63822,GDP,,,,,,,
152,152,,2020-01-05,,,,,Sales,25.18,GDP,25.17892,GDP,,,,,,,
153,153,,2020-01-05,,,,,Sales,30.55,GDP,30.55156,GDP,,,,,,,
154,154,,2020-01-05,,,,,Sales,30.09,GDP,30.093180000000004,GDP,,,,,,,
155,155,,2020-01-05,,,,,Sales,9.79,GDP,9.78588,GDP,,,,,,,
156,156,,2020-01-05,,,,,Sales,9.03,GDP,9.02902,GDP,,,,,,,
157,157,,2020-01-05,,,,,Sales,6.31,GDP,6.31072,GDP,,,,,,,
158,158,,2020-01-05,,,,,Sales,14.82,GDP,14.8174,GDP,,,,,,,
159,159,,2020-01-05,,,,,Tips,36.7,GDP,36.70238000000001,GDP,,,,,,,
160,160,,2020-01-05,,,,,Food and Beverage Cost,-396.7,GDP,-396.704,GDP,,,,,,,
161,161,,2020-01-05,,,,,Sales,16.31,GDP,16.309800000000006,GDP,,,,,,,
162,162,,2020-01-05,,,,,Tips,21.97,GDP,21.97026,GDP,,,,,,,
163,163,,2020-01-05,,,,,Tips,32.67,GDP,32.6729,GDP,,,,,,,
164,164,,2020-01-05,,,,,Sales,33.89,GDP,33.88814,GDP,,,,,,,
165,165,,2020-01-05,,,,,Sales,36.09,GDP,36.09476,GDP,,,,,,,
166,166,,2020-01-05,,,,,Sales,19.06,GDP,19.06008,GDP,,,,,,,
167,167,,2020-01-05,,,,,Sales,14.72,GDP,14.721460000000002,GDP,,,,,,,
168,168,,2020-01-05,,,,,Sales,31.34,GDP,31.3404,GDP,,,,,,,
169,169,,2020-01-05,,,,,Sales,12.61,GDP,12.61078,GDP,,,,,,,
170,170,,2020-01-05,,,,,Sales,10.1,GDP,10.095020000000002,GDP,,,,,,,
171,171,,2020-01-05,,,,,Tips,13.85,GDP,13.847339999999999,GDP,,,,,,,
172,172,,2020-01-05,,,,,Tips,16.54,GDP,16.544320000000003,GDP,,,,,,,
173,173,,2020-01-05,,,,,Sales,28.82,GDP,28.82464,GDP,,,,,,,
174,174,,2020-01-05,,,,,Sales,20.17,GDP,20.168720000000004,GDP,,,,,,,
175,175,,2020-01-05,,,,,Sales,32.28,GDP,32.27848,GDP,,,,,,,
176,176,,2020-01-05,,,,,Sales,8.42,GDP,8.4214,GDP,,,,,,,
177,177,,2020-01-05,,,,,Sales,18.76,GDP,18.7616,GDP,,,,,,,
178,178,,2020-01-05,,,,,Sales,12.18,GDP,12.18438,GDP,,,,,,,
179,179,,2020-01-05,,,,,Sales,9.56,GDP,9.56202,GDP,,,,,,,
180,180,,2020-01-05,,,,,Marketing,-247.91,GDP,-247.90766,GDP,,,,,,,
181,181,,2020-01-05,,,,,Sales,32.07,GDP,32.06528,GDP,,,,,,,
182,182,,2020-01-06,,,,,Sales,34.75,GDP,34.7516,GDP,,,,,,,
183,183,,2020-01-06,,,,,Sales,7.53,GDP,7.52596,GDP,,,,,,,
184,184,,2020-01-06,,,,,Sales,18.4,GDP,18.39916,GDP,,,,,,,
185,185,,2020-01-06,,,,,Sales,31.06,GDP,31.063240000000004,GDP,,,,,,,
186,186,,2020-01-06,,,,,Sales,19.31,GDP,19.30526,GDP,,,,,,,
187,187,,2020-01-06,,,,,Sales,36.61,GDP,36.606440000000006,GDP,,,,,,,
188,188,,2020-01-06,,,,,Sales,17.59,GDP,17.589000000000002,GDP,,,,,,,
189,189,,2020-01-06,,,,,Sales,25.29,GDP,25.28552,GDP,,,,,,,
190,190,,2020-01-06,,,,,Tips,30.95,GDP,30.94598,GDP,,,,,,,
191,191,,2020-01-06,,,,,Sales,19.31,GDP,19.30526,GDP,,,,,,,
192,192,,2020-01-06,,,,,Sales,32.14,GDP,32.1399,GDP,,,,,,,
193,193,,2020-01-06,,,,,Sales,19.92,GDP,19.923540000000006,GDP,,,,,,,
194,194,,2020-01-06,,,,,Sales,11.09,GDP,11.0864,GDP,,,,,,,
195,195,,2020-01-06,,,,,Sales,10.25,GDP,10.25492,GDP,,,,,,,
196,196,,2020-01-06,,,,,Sales,32.2,GDP,32.20386000000001,GDP,,,,,,,
197,197,,2020-01-06,,,,,Sales,26.05,GDP,26.053040000000006,GDP,,,,,,,
198,198,,2020-01-06,,,,,Sales,10.99,GDP,10.99046,GDP,,,,,,,
199,199,,2020-01-06,,,,,Sales,8.6,GDP,8.60262,GDP,,,,,,,
200,200,,2020-01-06,,,,,Labor & Benefits Cost,-327.03,GDP,-327.03286,GDP,,,,,,,
201,201,,2020-01-06,,,,,Sales,36.02,GDP,36.020140000000005,GDP,,,,,,,
202,202,,2020-01-06,,,,,Tips,21.99,GDP,21.99158,GDP,,,,,,,
203,203,,2020-01-06,,,,,Sales,32.32,GDP,32.32112,GDP,,,,,,,
204,204,,2020-01-06,,,,,Sales,29.61,GDP,29.613480000000006,GDP,,,,,,,
205,205,,2020-01-06,,,,,Sales,23.83,GDP,23.825100000000006,GDP,,,,,,,
206,206,,2020-01-07,,,,,Sales,10.29,GDP,10.2869,GDP,,,,,,,
207,207,,2020-01-07,,,,,Sales,31.47,GDP,31.46832,GDP,,,,,,,
208,208,,2020-01-07,,,,,Sales,13.21,GDP,13.20774,GDP,,,,,,,
209,209,,2020-01-07,,,,,Sales,11.61,GDP,11.60874,GDP,,,,,,,
210,210,,2020-01-07,,,,,Sales,14.06,GDP,14.06054,GDP,,,,,,,
211,211,,2020-01-07,,,,,Sales,16.03,GDP,16.03264,GDP,,,,,,,
212,212,,2020-01-07,,,,,Sales,36.59,GDP,36.58512,GDP,,,,,,,
213,213,,2020-01-07,,,,,Sales,27.63,GDP,27.630720000000004,GDP,,,,,,,
214,214,,2020-01-07,,,,,Sales,14.33,GDP,14.32704,GDP,,,,,,,
215,215,,2020-01-07,,,,,Sales,11.93,GDP,11.92854,GDP,,,,,,,
216,216,,2020-01-07,,,,,Sales,31.69,GDP,31.69218,GDP,,,,,,,
217,217,,2020-01-07,,,,,Sales,36.03,GDP,36.0308,GDP,,,,,,,
218,218,,2020-01-07,,,,,Sales,29.36,GDP,29.357640000000004,GDP,,,,,,,
219,219,,2020-01-07,,,,,Sales,14.75,GDP,14.75344,GDP,,,,,,,
220,220,,2020-01-07,,,,,Food and Beverage Cost,-280.45,GDP,-280.45248000000004,GDP,,,,,,,
221,221,,2020-01-07,,,,,Sales,5.88,GDP,5.88432,GDP,,,,,,,
222,222,,2020-01-07,,,,,Sales,12.82,GDP,12.82398,GDP,,,,,,,
223,223,,2020-01-07,,,,,Sales,31.31,GDP,31.30842,GDP,,,,,,,
224,224,,2020-01-07,,,,,Sales,18.3,GDP,18.303220000000003,GDP,,,,,,,
225,225,,2020-01-07,,,,,Sales,32.07,GDP,32.06528,GDP,,,,,,,
226,226,,2020-01-07,,,,,Tips,31.68,GDP,31.681520000000003,GDP,,,,,,,
227,227,,2020-01-07,,,,,Sales,35.56,GDP,35.56176,GDP,,,,,,,
228,228,,2020-01-07,,,,,Sales,18.88,GDP,18.878860000000003,GDP,,,,,,,
229,229,,2020-01-07,,,,,Sales,36.57,GDP,36.574459999999995,GDP,,,,,,,
230,230,,2020-01-07,,,,,Sales,34.96,GDP,34.9648,GDP,,,,,,,
231,231,,2020-01-07,,,,,Tips,7.46,GDP,7.4620000000000015,GDP,,,,,,,
232,232,,2020-01-07,,,,,Sales,7.39,GDP,7.38738,GDP,,,,,,,
233,233,,2020-01-07,,,,,Sales,15.38,GDP,15.38238,GDP,,,,,,,
234,234,,2020-01-07,,,,,Tips,29.75,GDP,29.752059999999997,GDP,,,,,,,
235,235,,2020-01-07,,,,,Sales,27.89,GDP,27.886560000000006,GDP,,,,,,,
236,236,,2020-01-07,,,,,Tips,26.68,GDP,26.681980000000006,GDP,,,,,,,
237,237,,2020-01-07,,,,,Sales,8.39,GDP,8.389420000000001,GDP,,,,,,,
238,238,,2020-01-07,,,,,Sales,14.39,GDP,14.390999999999998,GDP,,,,,,,
239,239,,2020-01-07,,,,,Sales,30.9,GDP,30.903340000000004,GDP,,,,,,,
240,240,,2020-01-07,,,,,Labor & Benefits Cost,-269.55,GDP,-269.55390000000006,GDP,,,,,,,
241,241,,2020-01-07,,,,,Sales,29.82,GDP,29.81602,GDP,,,,,,,
242,242,,2020-01-07,,,,,Sales,21.05,GDP,21.0535,GDP,,,,,,,
243,243,,2020-01-08,,,,,Sales,19.19,GDP,19.188,GDP,,,,,,,
244,244,,2020-01-08,,,,,Tips,27.69,GDP,27.694679999999998,GDP,,,,,,,
245,245,,2020-01-08,,,,,Sales,28.86,GDP,28.856620000000003,GDP,,,,,,,
246,246,,2020-01-08,,,,,Sales,30.47,GDP,30.466279999999998,GDP,,,,,,,
247,247,,2020-01-08,,,,,Sales,34.47,GDP,34.47444000000001,GDP,,,,,,,
248,248,,2020-01-08,,,,,Sales,30.85,GDP,30.850040000000003,GDP,,,,,,,
249,249,,2020-01-08,,,,,Sales,10.35,GDP,10.35086,GDP,,,,,,,
250,250,,2020-01-08,,,,,Sales,29.73,GDP,29.73074,GDP,,,,,,,
251,251,,2020-01-08,,,,,Sales,8.98,GDP,8.975719999999999,GDP,,,,,,,
252,252,,2020-01-08,,,,,Sales,35.77,GDP,35.77496000000001,GDP,,,,,,,
253,253,,2020-01-08,,,,,Sales,16.96,GDP,16.960060000000002,GDP,,,,,,,
254,254,,2020-01-08,,,,,Sales,13.93,GDP,13.932620000000002,GDP,,,,,,,
255,255,,2020-01-08,,,,,Sales,33.77,GDP,33.77088,GDP,,,,,,,
256,256,,2020-01-08,,,,,Sales,31.24,GDP,31.244459999999997,GDP,,,,,,,
257,257,,2020-01-08,,,,,Sales,31.81,GDP,31.80944,GDP,,,,,,,
258,258,,2020-01-08,,,,,Sales,37.24,GDP,37.23538,GDP,,,,,,,
259,259,,2020-01-08,,,,,Sales,6.94,GDP,6.939660000000001,GDP,,,,,,,
260,260,,2020-01-08,,,,,Labor & Benefits Cost,-333.63,GDP,-333.63022,GDP,,,,,,,
261,261,,2020-01-08,,,,,Tips,11.91,GDP,11.90722,GDP,,,,,,,
262,262,,2020-01-08,,,,,Tips,7.64,GDP,7.6432199999999995,GDP,,,,,,,
263,263,,2020-01-08,,,,,Sales,19.61,GDP,19.6144,GDP,,,,,,,
264,264,,2020-01-08,,,,,Sales,14.16,GDP,14.156479999999998,GDP,,,,,,,
265,265,,2020-01-08,,,,,Sales,20.88,GDP,20.882939999999998,GDP,,,,,,,
266,266,,2020-01-08,,,,,Sales,32.64,GDP,32.64092,GDP,,,,,,,
267,267,,2020-01-08,,,,,Sales,22.91,GDP,22.90834,GDP,,,,,,,
268,268,,2020-01-08,,,,,Sales,29.3,GDP,29.304340000000003,GDP,,,,,,,
269,269,,2020-01-08,,,,,Tips,31.73,GDP,31.734820000000006,GDP,,,,,,,
270,270,,2020-01-08,,,,,Sales,8.36,GDP,8.357439999999999,GDP,,,,,,,
271,271,,2020-01-08,,,,,Sales,7.43,GDP,7.43002,GDP,,,,,,,
272,272,,2020-01-08,,,,,Sales,14.86,GDP,14.86004,GDP,,,,,,,
273,273,,2020-01-08,,,,,Tips,7.57,GDP,7.5686,GDP,,,,,,,
274,274,,2020-01-08,,,,,Sales,13.71,GDP,13.70876,GDP,,,,,,,
275,275,,2020-01-08,,,,,Sales,13.76,GDP,13.762060000000002,GDP,,,,,,,
276,276,,2020-01-08,,,,,Sales,35.87,GDP,35.8709,GDP,,,,,,,
277,277,,2020-01-08,,,,,Sales,6.26,GDP,6.2574200000000015,GDP,,,,,,,
278,278,,2020-01-08,,,,,Sales,8.25,GDP,8.25084,GDP,,,,,,,
279,279,,2020-01-08,,,,,Sales,14.55,GDP,14.5509,GDP,,,,,,,
280,280,,2020-01-09,,,,,Labor & Benefits Cost,-409.34,GDP,-409.33816000000013,GDP,,,,,,,
281,281,,2020-01-09,,,,,Tips,6.08,GDP,6.076200000000001,GDP,,,,,,,
282,282,,2020-01-09,,,,,Sales,35.87,GDP,35.8709,GDP,,,,,,,
283,283,,2020-01-09,,,,,Sales,6.99,GDP,6.992960000000001,GDP,,,,,,,
284,284,,2020-01-09,,,,,Tips,5.64,GDP,5.63914,GDP,,,,,,,
285,285,,2020-01-09,,,,,Sales,18.5,GDP,18.4951,GDP,,,,,,,
286,286,,2020-01-09,,,,,Tips,31.03,GDP,31.031259999999996,GDP,,,,,,,
287,287,,2020-01-09,,,,,Sales,36.19,GDP,36.19070000000001,GDP,,,,,,,
288,288,,2020-01-09,,,,,Sales,5.68,GDP,5.681780000000002,GDP,,,,,,,
289,289,,2020-01-09,,,,,Sales,29.14,GDP,29.144440000000003,GDP,,,,,,,
290,290,,2020-01-09,,,,,Sales,22.46,GDP,22.46062,GDP,,,,,,,
291,291,,2020-01-09,,,,,Sales,36.34,GDP,36.33994000000001,GDP,,,,,,,
292,292,,2020-01-09,,,,,Sales,5.59,GDP,5.58584,GDP,,,,,,,
293,293,,2020-01-09,,,,,Tips,24.9,GDP,24.90176,GDP,,,,,,,
294,294,,2020-01-09,,,,,Sales,16.64,GDP,16.64026,GDP,,,,,,,
295,295,,2020-01-09,,,,,Sales,15.67,GDP,15.6702,GDP,,,,,,,
296,296,,2020-01-09,,,,,Sales,29.07,GDP,29.06982,GDP,,,,,,,
297,297,,2020-01-09,,,,,Sales,17.71,GDP,17.70626,GDP,,,,,,,
298,298,,2020-01-09,,,,,Sales,12.99,GDP,12.994539999999999,GDP,,,,,,,
299,299,,2020-01-09,,,,,Tips,11.78,GDP,11.7793,GDP,,,,,,,
300,300,,2020-01-09,,,,,Marketing,-241.98,GDP,-241.97866,GDP,,,,,,,
301,301,,2020-01-09,,,,,Sales,7.36,GDP,7.3554,GDP,,,,,,,
